sampling_date,plant_id,Peletizadora,sampling_hash,product_name,product_code,Turno,batch,Durabilidad,fines,Presión,Carga,Temp Acondicionamiento,Temp Enfriamiento,Hum Acondicionamiento,Hum Enfriamiento,Temp Ambiente,Hum Ambiente,observations,Matriz Dado,time,mixing_humidity,product_humidity,product_temperature,sampled_by,type_1,retention_time,type_2,efficiency,quantity,company_name,source_file,Delta Temp,Eficiencia Acondicionador,delta_temp_group,"product_code,Producto",Estructura Dieta,Amp
2024-10-19,18,2,07606c3af75404923c77a91d6e278d52,hembras reemplazo,920-597,3,1326.0,99.5,0.5,18.0,79.0,81.0,30.6,13.99,11.49,27.8,57.0,amp 129,mt 07,04:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,2.8,5.8,2-3,"920-597,hembras reemplazo",Levante,129.0
2024-10-20,18,1,143e433235fedeef00747a7239098eff,ceba finalizacion,703-298,1,1327.0,99.8,0.2,19.0,40.0,75.0,29.3,14.4,13.27,28.3,54.0,amp 118,mt 04,07:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,1.0,5.2,1-2,"703-298,ceba finalizacion",Finalizadores,118.0
2024-10-20,18,1,48e34d927a1fded3f1e68b6cc85e7d3b,lactancia primerizas,240-506,1,1328.0,99.6,0.4,17.0,40.0,70.0,29.2,14.07,12.94,28.9,57.0,amp 108,mt 04,11:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.3,5.0,0-1,"240-506,lactancia primerizas",Cria,108.0
2024-10-23,18,2,0f982b86af26038932feaf926af6b60a,iniciacion 1,550-427,1,1347.0,92.6,7.4,18.0,78.0,81.0,31.7,13.21,11.19,25.8,51.0,amp 116-128,mt 07,06:40:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,5.9,6.1,>5,"550-427,iniciacion 1",Inicios,116.0
2024-10-23,18,1,28638c43eb8682d9da81eca39fa3d929,iniciacion 1,550-427,1,1347.0,99.8,0.2,19.0,40.0,74.0,28.6,14.35,12.29,29.0,54.0,amp 115,mt 04,07:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.4,5.2,<0,"550-427,iniciacion 1",Inicios,115.0
2024-10-23,18,2,10d4de3129c032a98e0e4115d9677f01,iniciacion 1,550-427,1,1348.0,96.8,3.2,18.0,78.0,80.0,29.7,13.49,11.26,27.0,67.0,amp 114-127,mt 07,11:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,2.7,5.9,2-3,"550-427,iniciacion 1",Inicios,114.0
2024-10-23,18,1,15442de936005b8941a94b4296b89d97,iniciacion 1,550-427,1,1348.0,99.2,0.8,17.0,40.0,71.0,27.8,13.9,12.35,28.7,56.0,amp 115,mt 04,09:20:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.9,5.1,<0,"550-427,iniciacion 1",Inicios,115.0
2024-10-23,18,1,c7ada9d65ad15dfb5ff01ccbdfe41a9a,prelevante,610-596,2,1349.0,99.4,0.6,18.0,40.0,75.0,32.8,14.52,11.73,33.9,51.0,amp 110.7,mt 04,15:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-1.1,5.2,<0,"610-596,prelevante",Levante,110.7
2024-10-23,18,1,c7ada9d65ad15dfb5ff01ccbdfe41a9a,prelevante,610-596,2,1349.0,99.4,0.6,18.0,40.0,75.0,32.8,14.52,11.73,33.9,51.0,amp 110.7,mt 04,15:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-1.1,5.2,<0,"610-596,levante",Levante,110.7
2024-10-23,18,2,eba6bcb3f36d03e538530c82b3bfc687,prelevante,610-596,2,1349.0,97.5,2.5,20.0,78.0,81.0,30.1,13.55,11.72,30.5,62.0,amp 111.4-128.6,mt 07,0.6041666666666666,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.4,6.0,<0,"610-596,prelevante",Levante,111.4
2024-10-23,18,2,eba6bcb3f36d03e538530c82b3bfc687,prelevante,610-596,2,1349.0,97.5,2.5,20.0,78.0,81.0,30.1,13.55,11.72,30.5,62.0,amp 111.4-128.6,mt 07,0.6041666666666666,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.4,6.0,<0,"610-596,levante",Levante,111.4
2024-10-23,18,2,46a6300300f5242afcbdeb9e74281d9e,prelevante,610-596,1,1349.0,96.9,3.1,18.0,82.0,80.0,31.9,13.72,11.44,28.0,65.0,amp 116-128,mt 07,12:20:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,3.9,5.8,3-4,"610-596,prelevante",Levante,116.0
2024-10-23,18,2,46a6300300f5242afcbdeb9e74281d9e,prelevante,610-596,1,1349.0,96.9,3.1,18.0,82.0,80.0,31.9,13.72,11.44,28.0,65.0,amp 116-128,mt 07,12:20:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,3.9,5.8,3-4,"610-596,levante",Levante,116.0
